SOUTH PROPERTIES: 

Verdea Southmount, Cavite, Residential Lots, Pre-Selling, ₱13.3M to ₱19.4M
South Palmgrove, Batangas, Residential lots, Pre-Selling, ₱7.1M to ₱17.9M
Sereneo Nuvali, Laguna, Residential Lots, Pre-Selling, ₱13.2M to ₱33.9M
Parkford Suites Legazpi, Makati, Condos, Pre-Selling, ₱44.4M to ₱81M
Park East Place, Taguig, Condos, Pre-Selling, ₱25.7M to ₱64.4
Tryne Enterpise Plaza At Arca South, Taguig, Offices, Pre-Selling, ₱21.8M to ₱84.9M
Stiles Enterprise Plaza, Makati, Offices, Ready for Occupancy, N/A
Mergent Residences, Makati, Condos, Pre-selling, ₱10.4 to ₱35M
Caleia Vermosa, Cavite, Residential Lots, Pre-selling, ₱10.7M to ₱34.6M
Evo City Commercial, Cavite, Commercial Lots, Pre-selling, ₱98.2M to ₱178.8M 


NORTH PROPERTIES:

Versala Alviera, Pampanga, Residential Lots, Pre-Selling, ₱8.8M to ₱29.8M
The Lattice at Parklinks, Pasig, Condos, Pre-selling, ₱10.9M to ₱98.1M
Sentrove At Cloverleaf, Quezon City, Condos, Pre-Selling, ₱8.4M to ₱35.7M
The Ametrine at Portico, Pasig, Condos, Ready for Occupancy, ₱9.5M to ₱88.5M
Orean Residences at Vertis North, Quezon City, Condos, Pre-Selling, ₱12.4M to ₱63.6M
